cycle,t,i,i_m,v_C
2,3.95E-05,-39.76216796,9.246632699,110.2928374
2,3.96E-05,-40.43875974,9.271934607,109.812359
2,3.97E-05,-41.11284061,9.297020455,109.3249992
2,3.98E-05,-41.78440379,9.321888628,108.8307849
2,3.99E-05,-42.45344258,9.346537517,108.3297428
2,4.00E-05,-43.11995035,9.370965522,107.8218999
2,4.01E-05,-43.78392054,9.395171051,107.3072831
2,4.02E-05,-44.44534664,9.419152523,106.7859194
2,4.03E-05,-45.10422223,9.442908361,106.2578361
2,4.04E-05,-45.76054093,9.466437002,105.7230603
2,4.05E-05,-46.41429645,9.489736887,105.1816193
2,4.06E-05,-47.06548255,9.512806467,104.6335406
2,4.07E-05,-47.71409308,9.535644204,104.0788515
2,4.08E-05,-48.36012193,9.558248564,103.5175795
2,4.09E-05,-49.00356308,9.580618026,102.9497524
2,4.10E-05,-49.64441056,9.602751075,102.3753977
2,4.11E-05,-50.28265848,9.624646206,101.7945431
2,4.12E-05,-50.918301,9.646301921,101.2072166
2,4.13E-05,-51.55133236,9.667716732,100.613446
2,4.14E-05,-52.18174687,9.68888916,100.0132592
2,4.15E-05,-52.8095389,9.709817734,99.40668438
2,4.16E-05,-53.43470288,9.730500991,98.79374951
2,4.17E-05,-54.05723332,9.750937478,98.17448281
2,4.18E-05,-54.67712479,9.77112575,97.5489125
2,4.19E-05,-55.29437192,9.79106437,96.91706691
2,4.20E-05,-55.90896943,9.810751912,96.2789744
2,4.21E-05,-56.52091208,9.830186957,95.6346634
2,4.22E-05,-57.13019471,9.849368095,94.98416243
2,4.23E-05,-57.73681222,9.868293925,94.32750005
2,4.24E-05,-58.34075958,9.886963054,93.66470489
2,4.25E-05,-58.94203183,9.905374099,92.99580565
2,4.26E-05,-59.54062408,9.923525685,92.32083109
2,4.27E-05,-60.13653148,9.941416446,91.63981001
2,4.28E-05,-60.72974928,9.959045025,90.9527713
2,4.29E-05,-61.32027278,9.976410074,90.25974391
2,4.30E-05,-61.90809735,9.993510253,89.56075682
2,4.31E-05,-62.49321841,10.01034423,88.8558391
2,4.32E-05,-63.07563148,10.02691069,88.14501986
2,4.33E-05,-63.6553321,10.04320831,87.42832827
2,4.34E-05,-64.23231593,10.05923579,86.70579356
2,4.35E-05,-64.80657865,10.07499183,85.97744501
2,4.36E-05,-65.37811602,10.09047515,85.24331197
2,4.37E-05,-65.94692389,10.10568448,84.50342382
2,4.38E-05,-66.51299813,10.12061854,83.75781001
2,4.39E-05,-67.07633472,10.13527607,83.00650005
2,4.40E-05,-67.63692968,10.14965582,82.24952347
2,4.41E-05,-68.1947791,10.16375655,81.48690989
2,4.42E-05,-68.74987913,10.17757703,80.71868895
2,4.43E-05,-69.302226,10.19111603,79.94489036
2,4.44E-05,-69.851816,10.20437233,79.16554387
2,4.45E-05,-70.39864549,10.21734474,78.38067928
2,4.46E-05,-70.94271087,10.23003205,77.59032643
2,4.47E-05,-71.48400863,10.24243308,76.79451523
2,4.48E-05,-72.02253532,10.25454664,75.9932756
2,4.49E-05,-72.55828756,10.26637157,75.18663754
2,4.50E-05,-73.09126201,10.2779067,74.37463108
2,4.51E-05,-73.62145543,10.28915088,73.55728629
2,4.52E-05,-74.14886463,10.30010297,72.73463329
2,4.53E-05,-74.67348647,10.31076183,71.90670223
2,4.54E-05,-75.19531788,10.32112633,71.07352333
2,4.55E-05,-75.71435589,10.33119537,70.23512681
2,4.56E-05,-76.23059754,10.34096782,69.39154298
2,4.57E-05,-76.74403996,10.3504426,68.54280214
2,4.58E-05,-77.25468036,10.35961862,67.68893467
2,4.59E-05,-77.76251599,10.36849478,66.82997095
2,4.60E-05,-78.26754418,10.37707002,65.96594143
2,4.61E-05,-78.7697623,10.38534329,65.09687659
2,4.62E-05,-79.26916782,10.39331351,64.22280693
2,4.63E-05,-79.76575823,10.40097965,63.34376299
2,4.64E-05,-80.25953113,10.40834067,62.45977536
2,4.65E-05,-80.75048416,10.41539555,61.57087466
2,4.66E-05,-81.23861501,10.42214326,60.67709153
2,4.67E-05,-81.72392146,10.4285828,59.77845664
2,4.68E-05,-82.20640134,10.43471317,58.87500072
3,4.69E-05,-82.11462397,10.44053338,57.9667545
3,4.70E-05,-82.0213623,10.4461085,57.05935099
3,4.71E-05,-81.92662159,10.45143898,56.15280716
3,4.72E-05,-81.83040713,10.45652526,55.2471399
3,4.73E-05,-81.7327242,10.46136778,54.34236605
3,4.74E-05,-81.63357813,10.465967,53.43850241
3,4.75E-05,-81.53297424,10.47032335,52.53556569
3,4.76E-05,-81.4309179,10.47443731,51.63357258
3,4.77E-05,-81.32741446,10.47830933,50.73253968
3,4.78E-05,-81.22246933,10.48193987,49.83248357
3,4.79E-05,-81.1160879,10.48532941,48.93342073
3,4.80E-05,-81.0082756,10.48847842,48.03536762
3,4.81E-05,-80.89903788,10.49138737,47.13834062
3,4.82E-05,-80.78838019,10.49405675,46.24235606
3,4.83E-05,-80.67630801,10.49648703,45.34743021
3,4.84E-05,-80.56282683,10.49867872,44.45357927
3,4.85E-05,-80.44794217,10.5006323,43.56081942
3,4.86E-05,-80.33165954,10.50234826,42.66916673
3,4.87E-05,-80.21398451,10.50382711,41.77863724
3,4.88E-05,-80.09492262,10.50506936,40.88924693
3,4.89E-05,-79.97447945,10.5060755,40.00101171
3,4.90E-05,-79.8526606,10.50684605,39.11394745
3,4.91E-05,-79.72947167,10.50738152,38.22806993
3,4.92E-05,-79.6049183,10.50768244,37.3433949
3,4.93E-05,-79.47900611,10.50774932,36.45993803
3,4.94E-05,-79.35174078,10.5075827,35.57771494
3,4.95E-05,-79.22312796,10.50718309,34.69674118
3,4.96E-05,-79.09317335,10.50655105,33.81703225
3,4.97E-05,-78.96188265,10.50568709,32.93860358
3,4.98E-05,-78.82926158,10.50459177,32.06147054
3,4.99E-05,-78.69531587,10.50326563,31.18564845
3,5.00E-05,-78.56005126,10.50170921,30.31115255
3,5.01E-05,-78.42347352,10.49992307,29.43799804
3,5.02E-05,-78.28558842,10.49790777,28.56620003
3,5.03E-05,-78.14640175,10.49566385,27.6957736
3,5.04E-05,-78.00591932,10.49319189,26.82673374
3,5.05E-05,-77.86414694,10.49049244,25.95909539
3,5.06E-05,-77.72109045,10.48756608,25.09287344
3,5.07E-05,-77.57675569,10.48441338,24.22808269
3,5.08E-05,-77.43114852,10.48103492,23.36473789
3,5.09E-05,-77.2842748,10.47743127,22.50285374
3,5.10E-05,-77.13614044,10.47360302,21.64244486
